,Unnamed: 0,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,season_type,time,SCOREMARGIN,homeTeam,defender_id,defender_name,defender_x_loc,defender_y_loc,defender_distance
0,0,Shot Chart Detail,21500003,6,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,56,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,25,1,1,20151027,GSW,NOP,Regular,0021500003:1:10:56,3,1.0,201967.0,Dante Cunningham,7.36032,30.36241,4.713737928247604
1,1,Shot Chart Detail,21500003,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,30,40,1,0,20151027,GSW,NOP,Regular,0021500003:1:10:29,3,1.0,203076.0,Anthony Davis,34.04996,36.92485,5.098999984124334
2,2,Shot Chart Detail,21500003,14,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,0,20151027,GSW,NOP,Regular,0021500003:1:9:34,-2,1.0,201967.0,Dante Cunningham,6.18037,25.1473,18.624775867658112
3,3,Shot Chart Detail,21500003,19,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,48,36,1,1,20151027,GSW,NOP,Regular,0021500003:1:9:13,3,1.0,101126.0,Nate Robinson,31.96091,35.11213,16.23910766262728
4,4,Shot Chart Detail,21500003,36,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,40,1,1,20151027,GSW,NOP,Regular,0021500003:1:7:11,3,1.0,201967.0,Dante Cunningham,1.56609,26.80233,15.156717975036681
5,5,Shot Chart Detail,21500003,38,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,37,19,1,1,20151027,GSW,NOP,Regular,0021500003:1:6:45,4,1.0,201569.0,Eric Gordon,39.82846,4.85617,14.537436621306387
6,6,Shot Chart Detail,21500003,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,44,37,1,1,20151027,GSW,NOP,Regular,0021500003:1:5:50,6,1.0,2570.0,Kendrick Perkins,34.78059,34.02098,10.181823681335286
7,7,Shot Chart Detail,21500003,55,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,29,40,1,1,20151027,GSW,NOP,Regular,0021500003:1:5:03,7,1.0,202397.0,Ish Smith,28.94602,37.88208,3.055982276977401
8,8,Shot Chart Detail,21500003,68,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,22,5,1,1,20151027,GSW,NOP,Regular,0021500003:1:3:57,12,1.0,203076.0,Anthony Davis,21.39232,5.64533,1.402040595703274
9,9,Shot Chart Detail,21500003,82,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,41,34,1,0,20151027,GSW,NOP,Regular,0021500003:1:3:06,9,1.0,201582.0,Alexis Ajinca,39.62127,34.95743,2.2067111492898177
10,10,Shot Chart Detail,21500003,88,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,16,1,1,20151027,GSW,NOP,Regular,0021500003:1:2:45,11,1.0,202397.0,Ish Smith,17.53412,35.06423,18.76117953575947
11,11,Shot Chart Detail,21500003,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20151027,GSW,NOP,Regular,0021500003:1:0:45,7,1.0,202397.0,Ish Smith,8.58144,23.38887,3.1140827602522076
12,12,Shot Chart Detail,21500003,127,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,39,49,41,1,0,20151027,GSW,NOP,Regular,0021500003:1:0:01,4,1.0,201582.0,Alexis Ajinca,40.59606,34.8027,10.964240155966118
13,13,Shot Chart Detail,21500003,208,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,16,2,1,0,20151027,GSW,NOP,Regular,0021500003:2:6:03,1,1.0,101126.0,Nate Robinson,14.81551,4.59942,3.001965255661698
14,14,Shot Chart Detail,21500003,221,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,54,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,12,35,1,1,20151027,GSW,NOP,Regular,0021500003:2:4:54,6,1.0,202087.0,Alonzo Gee,16.27281,31.90839,5.410060179341813
15,15,Shot Chart Detail,21500003,253,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,15,1,1,0,20151027,GSW,NOP,Regular,0021500003:2:2:11,8,1.0,202397.0,Ish Smith,11.52162,2.80863,3.7407433615392534
16,16,Shot Chart Detail,21500003,261,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,16,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,15,1,1,0,20151027,GSW,NOP,Regular,0021500003:2:1:16,10,1.0,201583.0,Ryan Anderson,17.1949,0.92334,1.863054589269999
17,17,Shot Chart Detail,21500003,277,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,30,1,1,20151027,GSW,NOP,Regular,0021500003:2:0:00,10,1.0,201569.0,Eric Gordon,1.73733,25.48531,6.598044575251065
18,18,Shot Chart Detail,21500003,302,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,92,23,1,1,20151027,GSW,NOP,Regular,0021500003:3:10:07,18,1.0,201967.0,Dante Cunningham,86.6711,22.0659,5.658100241892152
19,19,Shot Chart Detail,21500003,333,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,35,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,92,22,1,1,20151027,GSW,NOP,Regular,0021500003:3:7:35,15,1.0,202397.0,Ish Smith,88.15694,26.11096,5.621260371304639
20,20,Shot Chart Detail,21500003,339,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,83,23,1,0,20151027,GSW,NOP,Regular,0021500003:3:7:14,14,1.0,201967.0,Dante Cunningham,89.24754,23.53293,6.209260651261149
21,21,Shot Chart Detail,21500003,364,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,69,46,1,0,20151027,GSW,NOP,Regular,0021500003:3:5:19,15,1.0,201583.0,Ryan Anderson,66.72208,43.29954,4.019354948608045
22,22,Shot Chart Detail,21500003,366,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,13,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,94,21,1,0,20151027,GSW,NOP,Regular,0021500003:3:5:13,15,1.0,203076.0,Anthony Davis,89.41093,27.37681,7.914534529288504
23,23,Shot Chart Detail,21500003,395,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,67,40,1,1,20151027,GSW,NOP,Regular,0021500003:3:3:23,17,1.0,201583.0,Ryan Anderson,61.11128,36.32914,7.300924417914483
24,24,Shot Chart Detail,21500003,524,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,21,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,90,8,1,0,20151027,GSW,NOP,Regular,0021500003:4:5:21,17,1.0,202397.0,Ish Smith,87.06015,18.29507,10.598552905486674
25,25,Shot Chart Detail,21500003,550,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,94,29,1,0,20151027,GSW,NOP,Regular,0021500003:4:2:30,15,1.0,2570.0,Kendrick Perkins,88.66452,28.2072,5.592746036081029
26,41,Shot Chart Detail,21500035,45,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,57,44,1,1,20151031,NOP,GSW,Regular,0021500035:1:7:42,-2,0.0,203076.0,Anthony Davis,57.44341,44.67067,0.0
27,42,Shot Chart Detail,21500035,58,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,60,27,1,0,20151031,NOP,GSW,Regular,0021500035:1:6:30,TIE,0.0,202397.0,Ish Smith,66.24885,32.87075,7.998237618875799
28,43,Shot Chart Detail,21500035,63,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,59,24,1,1,20151031,NOP,GSW,Regular,0021500035:1:6:10,TIE,0.0,201950.0,Jrue Holiday,63.96137,33.69671,9.839485536144663
29,44,Shot Chart Detail,21500035,101,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,64,37,1,1,20151031,NOP,GSW,Regular,0021500035:1:4:03,-2,0.0,201962.0,Toney Douglas,65.49854,35.461,2.2731271324983124
30,45,Shot Chart Detail,21500035,123,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,48,36,1,0,20151031,NOP,GSW,Regular,0021500035:1:2:05,-5,0.0,202397.0,Ish Smith,52.18898,35.26447,4.1747453552642
31,46,Shot Chart Detail,21500035,132,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,53,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,63,28,1,0,20151031,NOP,GSW,Regular,0021500035:1:0:53,-5,0.0,203076.0,Anthony Davis,55.87,25.70154,8.16829289911301
32,47,Shot Chart Detail,21500035,208,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,51,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,93,28,1,1,20151031,NOP,GSW,Regular,0021500035:2:6:51,-2,0.0,201582.0,Alexis Ajinca,89.54405,28.61751,4.187875103414619
33,48,Shot Chart Detail,21500035,256,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,94,47,1,0,20151031,NOP,GSW,Regular,0021500035:2:3:47,-5,0.0,201962.0,Toney Douglas,88.52997,44.3567,7.060348344508216
34,49,Shot Chart Detail,21500035,347,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,31,31,1,0,20151031,NOP,GSW,Regular,0021500035:3:9:53,TIE,0.0,201950.0,Jrue Holiday,38.21373,29.90078,6.914349321150905
35,50,Shot Chart Detail,21500035,351,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,36,38,1,1,20151031,NOP,GSW,Regular,0021500035:3:9:12,TIE,0.0,203076.0,Anthony Davis,33.55993,36.04791,3.653938730096607
36,51,Shot Chart Detail,21500035,361,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,56,43,1,1,20151031,NOP,GSW,Regular,0021500035:3:8:05,-5,0.0,202337.0,Luke Babbitt,43.71018,46.38531,12.843658493505652
37,52,Shot Chart Detail,21500035,363,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,36,37,1,1,20151031,NOP,GSW,Regular,0021500035:3:7:40,-6,0.0,203076.0,Anthony Davis,35.40595,34.55483,3.2692873663995905
38,53,Shot Chart Detail,21500035,372,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,81,10,1,1,20151031,NOP,GSW,Regular,0021500035:3:6:30,-9,0.0,202087.0,Alonzo Gee,82.33027,2.18321,8.225211898285663
39,54,Shot Chart Detail,21500035,375,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,84,8,1,0,20151031,NOP,GSW,Regular,0021500035:3:6:15,-9,0.0,201967.0,Dante Cunningham,84.91318,2.09824,6.877251787720149
40,55,Shot Chart Detail,21500035,383,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,6,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,25,1,1,20151031,NOP,GSW,Regular,0021500035:3:5:06,-10,0.0,202337.0,Luke Babbitt,7.60394,27.23851,3.632236062606615
41,56,Shot Chart Detail,21500035,396,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,18,-1,1,1,20151031,NOP,GSW,Regular,0021500035:3:3:49,-8,0.0,201962.0,Toney Douglas,20.61338,6.66401,8.440168864862835
42,57,Shot Chart Detail,21500035,407,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,19,1,1,20151031,NOP,GSW,Regular,0021500035:3:2:40,-8,0.0,202337.0,Luke Babbitt,3.2109,24.59093,6.917769749232769
43,58,Shot Chart Detail,21500035,414,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,9,1,1,20151031,NOP,GSW,Regular,0021500035:3:1:34,-12,0.0,202337.0,Luke Babbitt,0.42838,25.08362,16.424775302091653
44,59,Shot Chart Detail,21500035,418,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,33,1,1,20151031,NOP,GSW,Regular,0021500035:3:1:01,-12,0.0,203076.0,Anthony Davis,1.08363,28.85268,4.578990088764115
45,60,Shot Chart Detail,21500035,421,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,21,3,1,1,20151031,NOP,GSW,Regular,0021500035:3:0:39,-15,0.0,202087.0,Alonzo Gee,22.80678,6.67761,3.4397871745938
46,61,Shot Chart Detail,21500035,426,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,33,22,1,0,20151031,NOP,GSW,Regular,0021500035:3:0:09,-14,0.0,201962.0,Toney Douglas,24.1914,29.17541,12.101628909287374
47,62,Shot Chart Detail,21500035,493,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,9,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,15,49,1,1,20151031,NOP,GSW,Regular,0021500035:4:6:09,-13,0.0,201569.0,Eric Gordon,10.13992,40.10981,10.929504262518035
48,63,Shot Chart Detail,21500035,495,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,23,25,1,0,20151031,NOP,GSW,Regular,0021500035:4:5:44,-13,0.0,201569.0,Eric Gordon,23.83231,27.38397,2.173270460297107
49,64,Shot Chart Detail,21500035,539,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,13,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-1,6,1,1,20151031,NOP,GSW,Regular,0021500035:4:3:13,-13,0.0,201950.0,Jrue Holiday,4.98187,12.66406,9.407981959448051
50,65,Shot Chart Detail,21500035,556,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,37,32,1,1,20151031,NOP,GSW,Regular,0021500035:4:2:11,-12,0.0,202337.0,Luke Babbitt,32.81687,33.92228,5.111022385491966
51,66,Shot Chart Detail,21500035,570,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,3,-1,1,0,20151031,NOP,GSW,Regular,0021500035:4:1:00,-16,0.0,202337.0,Luke Babbitt,10.11948,0.35225,7.005770296562683
52,67,Shot Chart Detail,21500035,573,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,0,40,1,0,20151031,NOP,GSW,Regular,0021500035:4:0:34,-13,0.0,203076.0,Anthony Davis,10.09847,36.99222,10.550624785371719
53,68,Shot Chart Detail,21500051,11,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,33,49,1,1,20151102,GSW,MEM,Regular,0021500051:1:10:36,3,1.0,201144.0,Mike Conley,16.61203,47.03953,16.569932324354856
54,69,Shot Chart Detail,21500051,17,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,17,35,1,1,20151102,GSW,MEM,Regular,0021500051:1:9:34,4,1.0,201144.0,Mike Conley,18.44787,37.91562,2.538235774411034
55,70,Shot Chart Detail,21500051,29,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,41,23,1,0,20151102,GSW,MEM,Regular,0021500051:1:8:05,1,1.0,2754.0,Tony Allen,31.33776,34.94132,15.47712560487896
56,71,Shot Chart Detail,21500051,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,39,37,1,0,20151102,GSW,MEM,Regular,0021500051:1:6:14,TIE,1.0,201584.0,Courtney Lee,28.87248,49.27367,15.749785652192225
57,72,Shot Chart Detail,21500051,108,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,31,7,1,0,20151102,GSW,MEM,Regular,0021500051:1:0:59,-3,1.0,2757.0,Beno Udrih,28.89873,12.51632,5.723827330903685
58,73,Shot Chart Detail,21500051,122,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,6,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,22,1,0,20151102,GSW,MEM,Regular,0021500051:1:0:06,-1,1.0,203210.0,JaMychal Green,11.84126,22.27712,0.10679480230797601
59,74,Shot Chart Detail,21500051,225,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,34,2,1,0,20151102,GSW,MEM,Regular,0021500051:2:2:48,13,1.0,2754.0,Tony Allen,23.86227,1.08984,11.154445234237334
60,75,Shot Chart Detail,21500051,236,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,34,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,18,14,1,1,20151102,GSW,MEM,Regular,0021500051:2:2:34,13,1.0,201144.0,Mike Conley,19.24261,13.55695,1.123042402405181
61,76,Shot Chart Detail,21500051,289,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,0,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,79,46,1,1,20151102,GSW,MEM,Regular,0021500051:3:10:00,21,1.0,2216.0,Zach Randolph,79.74958,40.11642,6.2830696942259046
62,77,Shot Chart Detail,21500051,297,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,5,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,66,8,1,1,20151102,GSW,MEM,Regular,0021500051:3:9:05,24,1.0,201144.0,Mike Conley,65.93797,9.10457,0.3841048825516172
63,78,Shot Chart Detail,21500051,313,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,49,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,86,21,1,0,20151102,GSW,MEM,Regular,0021500051:3:7:49,29,1.0,203210.0,JaMychal Green,85.0228,25.35927,4.362510673110151
64,79,Shot Chart Detail,21500051,326,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,43,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,77,33,1,1,20151102,GSW,MEM,Regular,0021500051:3:6:43,32,1.0,201584.0,Courtney Lee,78.58881,36.55469,3.6400764832074586
65,80,Shot Chart Detail,21500051,331,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,28,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,83,45,1,1,20151102,GSW,MEM,Regular,0021500051:3:6:28,35,1.0,203210.0,JaMychal Green,90.73044,29.04042,18.356195359567295
66,81,Shot Chart Detail,21500051,339,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,47,1,1,20151102,GSW,MEM,Regular,0021500051:3:5:32,36,1.0,2440.0,Matt Barnes,89.1108,45.76824,9.326192950357605
67,82,Shot Chart Detail,21500051,344,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,90,51,1,1,20151102,GSW,MEM,Regular,0021500051:3:4:58,39,1.0,201144.0,Mike Conley,90.07874,51.97074,0.0
68,83,Shot Chart Detail,21500051,380,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,80,22,1,1,20151102,GSW,MEM,Regular,0021500051:3:2:33,42,1.0,201188.0,Marc Gasol,87.95433,24.41249,7.841500639903052
69,84,Shot Chart Detail,21500069,5,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,53,25,1,1,20151104,GSW,LAC,Regular,0021500069:1:11:17,1,1.0,202362.0,Lance Stephenson,47.54668,42.80727,17.8164489038669
70,85,Shot Chart Detail,21500069,164,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,38,36,1,1,20151104,GSW,LAC,Regular,0021500069:2:9:42,13,1.0,203085.0,Austin Rivers,22.80959,22.18071,20.679593838187444
71,86,Shot Chart Detail,21500069,195,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,29,10,1,1,20151104,GSW,LAC,Regular,0021500069:2:7:56,17,1.0,101108.0,Chris Paul,25.534,10.59855,3.8787634991063844
72,87,Shot Chart Detail,21500069,206,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,11,23,1,0,20151104,GSW,LAC,Regular,0021500069:2:6:57,15,1.0,201599.0,DeAndre Jordan,11.78554,23.38988,0.0
